"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"533",-0.980056181791135,-3.18159377008078,-1.23671851509165,-0.269507484681809,0.971425561336308,0.496885372579342,2.07102759995789,1.88217613831234,2.13068341527616,-0.0417316239658203,1
"24",1.3749004381854,-0.174635450948292,1.01217722658366,-0.644257878911115,-0.641930280799898,0.21791739048003,-0.92965167688009,0.0603413900859911,0.38832134173437,-0.263480099514126,0
"555",3.16773850908086,1.25938785677768,2.59099861183845,-1.1180626483324,-1.73726786637972,0.174248631819792,-2.84978083318015,-0.828638363027176,-0.315399073484854,-0.491674864737068,1
"167",0.967111727840383,-1.49351831418231,0.498364046557049,-0.755308173684443,-0.238500018691247,0.423690966995481,-0.0700270471190021,0.84061554347606,1.27127591397594,-0.280501293526007,0
"635",-0.860747969114944,2.91076407199381,-0.197092180708171,1.02084424927181,-0.0335346950195317,-0.689091380879833,-0.611378406890139,-1.66910242650569,-2.28311172476714,0.359457507374708,1
"289",-0.0131573723393094,0.0818145119111765,0.00280329727871836,0.0238310608244565,-0.00631314794132894,-0.0178960307628712,-0.0252437095843575,-0.0472463448725316,-0.0620764938143226,0.00808588161831905,0
"126",-0.29479745658108,-0.867923952742422,-0.358117081151768,-0.0614294833458287,0.278354907312083,0.131886086546958,0.585007175608772,0.514274255001945,0.576027976525664,-0.00636720585906019,0
"35",1.43498703004557,1.83544548967174,1.37085198882535,-0.227656061050839,-0.983585998517761,-0.170612415134351,-1.82980387450174,-1.11197229838945,-1.06400721941866,-0.13490228939618,0
"146",1.21002161708224,0.925406925073184,1.05896315517429,-0.329135830277467,-0.732668079980303,-0.0210996590720185,-1.27785236710974,-0.575274236162999,-0.444047310756363,-0.156960041951725,0
"586",1.25186389535659,2.50979596249065,1.33750588317958,0.00167040249202938,-0.999282605420498,-0.328083695329654,-1.98334115480023,-1.49915110434109,-1.58985226662686,-0.0546032314599322,1
"71",-0.0725364726000422,-1.45819988648215,-0.282081518535816,-0.289467323437055,0.26193848587065,0.27799370344182,0.674148520965619,0.851317811745388,1.0480838522151,-0.0879839114290874,0
"444",1.69560712250178,3.2551940007433,1.78912804304786,-0.029531684522506,-1.33107603125506,-0.415922753020575,-2.62492379464011,-1.94655604809809,-2.04836573281984,-0.0839729580565061,1
"59",-1.91798455752725,-1.60691411874099,-1.7003724633402,0.490832989851136,1.18310952802952,0.0610771386184278,2.08516914637597,0.993421150805423,0.805848944191433,0.239069603859741,0
"469",1.58869151828077,3.17249240290073,1.6954141566648,-0.00065566130302197,-1.26619345188242,-0.413874141719821,-2.5116168557997,-1.89518177963316,-2.00845020029313,-0.0701690717704609,1
"669",3.18533313928313,-1.03143124034386,2.24729883396415,-1.63077196422721,-1.3897808988562,0.628528020290857,-1.88676522760283,0.504817865785778,1.35611804794557,-0.653946140161604,1
"2",-0.171193641869294,1.25454390658864,0.0660895679819536,0.351960517174205,-0.111678097145305,-0.270339673300095,-0.409405180823612,-0.725394736316087,-0.946076165200179,0.118401764099044,0
"618",-0.922564803585023,-3.44942755428584,-1.23499556230497,-0.353875128893745,0.985076215635632,0.557395074226126,2.14313786162422,2.03641146606552,2.33664010234708,-0.0708380781713467,1
"364",-3.44199880913287,-1.98381275884681,-2.91122721522714,1.07921575629813,1.98332545217633,-0.067931503413798,3.3586613420717,1.25873284150009,0.790831872845922,0.491516455250665,1
"249",-0.962770724876054,-0.410494436381354,-0.791803411835757,0.333700624662141,0.532317516389259,-0.04748908100587,0.877945981950091,0.267994971515572,0.116051284862638,0.147509494028986,0
"333",-0.721744894979342,-3.48765586273417,-1.08913792920135,-0.450780352229138,0.893292091429488,0.591733951455273,2.01277054611441,2.05263257103903,2.40262216373102,-0.110205578199111,1
"43",-0.891759221065756,-0.529054874596504,-0.756596826285549,0.276279994034961,0.51618810669094,-0.0146238333252466,0.876594095554994,0.33489909280402,0.215875120174878,0.126295584626623,0
"434",-4.02079826187922,-1.03244704467021,-3.20052529605306,1.54393367019897,2.11712335683559,-0.33285087361562,3.3760679211477,0.722143549284521,-0.011891427147016,0.663385342982756,1
"601",-1.51681292795103,2.49631633388742,-0.757649330099953,1.21854281434777,0.350143899536389,-0.694874032144981,0.0442745196993803,-1.40802996719551,-2.10592524527538,0.450621546130114,1
"430",-2.70392471632499,1.75034829847689,-1.77132946404043,1.57713796150462,1.0437741090478,-0.706116916499766,1.2289575495037,-0.937935287442705,-1.78819384245161,0.61585197190851,1
